variable,min_35,max_35,sector,var_change_over_time
density_wali_kg_n_per_m3_ww_industrial,0.5,2.0,CircularEconomy,0
logelasticity_wali_qty_prod_to_gdp_per_capita,0.8,1.2,CircularEconomy,0
physparam_wali_bo_tonne_ch4_tonne_bod,0.8,1.2,CircularEconomy,0
physparam_wali_bo_tonne_ch4_tonne_cod,0.8,1.2,CircularEconomy,0
physparam_wali_daily_kg_bod_per_capita,0.78,1.22,CircularEconomy,0
physparam_wali_p_per_bod,0.7,1.3,CircularEconomy,0
physparam_wali_p_per_cod,0.7,1.3,CircularEconomy,0
physparam_wali_tonne_cod_per_mmm_gdp,0.37,2.17,CircularEconomy,0
qty_wali_m3_ww_domestic_rural_per_capita,0.8,1.2,CircularEconomy,0
qty_wali_m3_ww_domestic_urban_per_capita,0.8,1.2,CircularEconomy,0
qty_wali_m3_ww_industrial_per_gdp,0.8,1.2,CircularEconomy,0
ef_waso_biogas_kg_ch4_per_kg_food,0.57,1.43,CircularEconomy,0
ef_waso_biogas_kg_ch4_per_kg_sludge,0.57,1.43,CircularEconomy,0
ef_waso_biogas_kg_ch4_per_kg_yard,0.57,1.43,CircularEconomy,0
ef_waso_compost_kg_ch4_per_kg_food,0.57,1.43,CircularEconomy,0
ef_waso_compost_kg_ch4_per_kg_sludge,0.57,1.43,CircularEconomy,0
ef_waso_compost_kg_ch4_per_kg_yard,0.57,1.43,CircularEconomy,0
ef_waso_compost_kg_n2o_per_kg_food,0.57,1.43,CircularEconomy,0
ef_waso_compost_kg_n2o_per_kg_sludge,0.57,1.43,CircularEconomy,0
ef_waso_compost_kg_n2o_per_kg_yard,0.57,1.43,CircularEconomy,0
ef_waso_incineration_kg_ch4_per_kg_isw,0.2,2.0,CircularEconomy,0
ef_waso_incineration_kg_ch4_per_kg_msw,0.2,2.0,CircularEconomy,0
ef_waso_incineration_tonne_n2o_per_tonne_chemical_industrial,0.8,1.2,CircularEconomy,0
ef_waso_incineration_tonne_n2o_per_tonne_food,0.8,1.2,CircularEconomy,0
ef_waso_incineration_tonne_n2o_per_tonne_glass,0.8,1.2,CircularEconomy,0
ef_waso_incineration_tonne_n2o_per_tonne_metal,0.8,1.2,CircularEconomy,0
ef_waso_incineration_tonne_n2o_per_tonne_nappies,0.8,1.2,CircularEconomy,0
ef_waso_incineration_tonne_n2o_per_tonne_other,0.8,1.2,CircularEconomy,0
ef_waso_incineration_tonne_n2o_per_tonne_paper,0.8,1.2,CircularEconomy,0
ef_waso_incineration_tonne_n2o_per_tonne_plastic,0.8,1.2,CircularEconomy,0
ef_waso_incineration_tonne_n2o_per_tonne_rubber_leather,0.8,1.2,CircularEconomy,0
ef_waso_incineration_tonne_n2o_per_tonne_sludge,0.95,1.05,CircularEconomy,0
ef_waso_incineration_tonne_n2o_per_tonne_textiles,0.8,1.2,CircularEconomy,0
ef_waso_incineration_tonne_n2o_per_tonne_wood,0.8,1.2,CircularEconomy,0
ef_waso_incineration_tonne_n2o_per_tonne_yard,0.8,1.2,CircularEconomy,0
elasticity_waso_msw_to_gdppc_food,0.1,16.6666666666667,CircularEconomy,0
elasticity_waso_msw_to_gdppc_glass,0.1,6.66666666666667,CircularEconomy,0
elasticity_waso_msw_to_gdppc_metal,0.1,6.66666666666667,CircularEconomy,0
elasticity_waso_msw_to_gdppc_nappies,0.1,33.3333333333333,CircularEconomy,0
elasticity_waso_msw_to_gdppc_other,0.1,33.3333333333333,CircularEconomy,0
elasticity_waso_msw_to_gdppc_paper,0.1,4.16666666666667,CircularEconomy,0
elasticity_waso_msw_to_gdppc_plastic,0.1,6.66666666666667,CircularEconomy,0
elasticity_waso_msw_to_gdppc_rubber_leather,0.1,6.66666666666667,CircularEconomy,0
elasticity_waso_msw_to_gdppc_textiles,0.1,33.3333333333333,CircularEconomy,0
elasticity_waso_msw_to_gdppc_wood,0.1,16.6666666666667,CircularEconomy,0
elasticity_waso_msw_to_gdppc_yard,0.1,16.6666666666667,CircularEconomy,0
historical_back_projection_growth_rate,0.5,2.0,CircularEconomy,0
mcf_waso_average_landfilled,0.76,1.66,CircularEconomy,0
mcf_waso_average_open_dump,0.76,1.66,CircularEconomy,0
physparam_waso_k_chemical_industrial,0.85,1.17,CircularEconomy,0
physparam_waso_k_food,0.53,1.48,CircularEconomy,0
physparam_waso_k_nappies,0.78,1.15,CircularEconomy,0
physparam_waso_k_paper,0.83,1.23,CircularEconomy,0
physparam_waso_k_sludge,0.53,1.48,CircularEconomy,0
physparam_waso_k_textiles,0.83,1.23,CircularEconomy,0
physparam_waso_k_wood,0.71,1.43,CircularEconomy,0
physparam_waso_k_yard,0.78,1.15,CircularEconomy,0
ef_trww_treated_advanced_aerobic_g_n2o_per_g_n,0.01,2.8125,CircularEconomy,0
ef_trww_treated_advanced_anaerobic_g_n2o_per_g_n,0.0,2.0,CircularEconomy,0
ef_trww_treated_latrine_improved_g_n2o_per_g_n,0.0,2.0,CircularEconomy,0
ef_trww_treated_latrine_unimproved_g_n2o_per_g_n,0.0,2.0,CircularEconomy,0
ef_trww_treated_primary_g_n2o_per_g_n,0.01,2.8125,CircularEconomy,0
ef_trww_treated_secondary_aerobic_g_n2o_per_g_n,0.01,2.8125,CircularEconomy,0
ef_trww_treated_secondary_anaerobic_g_n2o_per_g_n,0.0,2.0,CircularEconomy,0
ef_trww_untreated_no_sewerage_g_n2o_per_g_n,0.042,7.58,CircularEconomy,0
ef_trww_untreated_with_sewerage_g_n2o_per_g_n,0.042,7.58,CircularEconomy,0
frac_sludge_compliant_treated_septic,0.2,1.8,CircularEconomy,0
frac_trww_n_removed_treated_advanced_aerobic,0.5625,1.0625,CircularEconomy,0
frac_trww_n_removed_treated_advanced_anaerobic,0.5625,1.0625,CircularEconomy,0
frac_trww_n_removed_treated_latrine_improved,0.583,1.75,CircularEconomy,0
frac_trww_n_removed_treated_latrine_unimproved,0.583,1.75,CircularEconomy,0
frac_trww_n_removed_treated_primary,0.5,2.0,CircularEconomy,0
frac_trww_n_removed_treated_secondary_aerobic,0.875,1.375,CircularEconomy,0
frac_trww_n_removed_treated_secondary_anaerobic,0.875,1.375,CircularEconomy,0
frac_trww_n_removed_treated_septic,0.67,1.67,CircularEconomy,0
frac_trww_p_removed_treated_advanced_aerobic,0.833,1.333,CircularEconomy,0
frac_trww_p_removed_treated_advanced_anaerobic,0.833,1.333,CircularEconomy,0
frac_trww_tow_removed_treated_advanced_aerobic,0.889,1.056,CircularEconomy,0
frac_trww_tow_removed_treated_advanced_anaerobic,0.889,1.056,CircularEconomy,0
frac_trww_tow_removed_treated_latrine_improved,0.117,2.326,CircularEconomy,0
frac_trww_tow_removed_treated_latrine_unimproved,0.117,2.326,CircularEconomy,0
frac_trww_tow_removed_treated_primary,0.625,1.25,CircularEconomy,0
frac_trww_tow_removed_treated_secondary_aerobic,0.941,1.059,CircularEconomy,0
frac_trww_tow_removed_treated_secondary_anaerobic,0.941,1.059,CircularEconomy,0
frac_trww_tow_removed_treated_septic,0.8,1.2,CircularEconomy,0
frac_trww_tow_removed_untreated_no_sewerage,0.8,1.2,CircularEconomy,0
frac_trww_tow_removed_untreated_with_sewerage,0.8,1.2,CircularEconomy,0
mcf_trww_treated_advanced_aerobic,0.1,3.0,CircularEconomy,0
mcf_trww_treated_advanced_anaerobic,0.333,1.667,CircularEconomy,0
mcf_trww_treated_latrine_improved,0.14,2.86,CircularEconomy,0
mcf_trww_treated_latrine_unimproved,0.14,2.86,CircularEconomy,0
